neighbourhood,num_listings,avg_minimum_nights,avg_maximum_nights,one_night_stays,short_stays,medium_stays,weekly_plus_stays,one_night_percent
Bromley,864,13.06,390.97,309,353,97,105,35.76
Kensington and Chelsea,6344,7.38,514.31,1719,2564,1235,826,27.1
Tower Hamlets,7530,6.93,479.74,2549,2996,883,1102,33.85
Greenwich,2110,6.62,457.69,745,912,217,236,35.31
Westminster,10716,6.41,488.81,3545,4226,1515,1430,33.08
Camden,6277,5.8,159803.45,2176,2480,819,802,34.67
City of London,605,5.8,571.88,209,249,62,85,34.55
Islington,5103,5.63,494.88,1502,2143,774,684,29.43
Barnet,2433,5.61,433.73,845,986,233,369,34.73
Ealing,2387,5.43,435.31,882,895,274,336,36.95
Croydon,1641,5.4,424.19,669,593,202,177,40.77
Southwark,5332,5.19,2146.51,1588,2347,756,641,29.78
Brent,2943,5.13,452.04,1054,1218,336,335,35.81
Hounslow,1311,5.04,484.72,578,436,143,154,44.09
Hammersmith and Fulham,3957,4.99,475.62,1106,1739,606,506,27.95
Haringey,2553,4.98,442.94,834,1024,351,344,32.67
Hackney,6425,4.93,467.2,1584,2877,1068,896,24.65
Kingston upon Thames,709,4.78,453.61,249,295,101,64,35.12
Lewisham,2732,4.67,4089.92,849,1191,365,327,31.08
Wandsworth,4871,4.67,439.14,1289,2149,793,640,26.46
Lambeth,5060,4.65,444.69,1356,2407,692,605,26.8
Barking and Dagenham,782,4.46,454.93,366,282,62,72,46.8
Enfield,922,4.44,455.86,362,371,92,97,39.26
Redbridge,1034,4.43,442.34,533,325,76,100,51.55
Richmond upon Thames,1286,4.37,481.14,376,561,181,168,29.24
Havering,553,4.32,433.48,244,223,44,42,44.12
Newham,2577,4.22,457.92,1069,976,241,291,41.48
Waltham Forest,1944,4.15,415.64,612,807,269,256,31.48
Bexley,589,4.13,448.1,264,251,40,34,44.82
Sutton,457,4.12,456.39,190,172,56,39,41.58
Harrow,628,4.11,493.77,292,216,56,64,46.5
Hillingdon,943,4.07,484.83,548,257,65,73,58.11
Merton,1522,3.86,345294.78,502,672,199,149,32.98
