HospitalCode,HospitalName
APGD,ACCOMPLISH GROUP SUPPORT LIMITED
RCF,AIREDALE NHS FOUNDATION TRUST
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST
NT401,ALEXANDRA HOSPITAL
A7RH,ALTERNATIVE FUTURES GROUP LIMITED
S0L9O,ANGLIA COMMUNITY EYE SERVICE - BIRMINGHAM
H7X1I,ANGLIA COMMUNITY EYE SERVICE - CAMBRIDGE
Z4F8Y,ANGLIA COMMUNITY EYE SERVICE - DARTFORD
N1M9Z,ANGLIA COMMUNITY EYE SERVICE - EXETER
I7G8X,ANGLIA COMMUNITY EYE SERVICE - NEWCASTLE
O9Q4E,ANGLIA COMMUNITY EYE SERVICE - PETERBOROUGH
NX507,ANGLIA COMMUNITY EYE SERVICE - THETFORD HEALTHY LIVING CENTRE
NX501,ANGLIA COMMUNITY EYE SERVICE LTD
NX504,ANGLIA COMMUNITY EYE SERVICES FAKENHAM
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST
NVC01,ASHTEAD HOSPITAL
NXP37,ASPEN CENTRE
RVN,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST
A00L,BARCHESTER HEALTHCARE HOMES LIMITED
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST"
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST
R1H,BARTS HEALTH NHS TRUST
RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST
NT402,BATH CLINIC
NVC0I,BEACON PARK HOSPITAL
NT403,BEARDWOOD HOSPITAL
NT404,BEAUMONT HOSPITAL
RC1,BEDFORD HOSPITAL NHS TRUST
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST
NWF01,BENENDEN HOSPITAL
RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST
NWX11,BICS-COMMUNITY
RYW,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST
NT405,BISHOPS WOOD HOSPITAL
NT406,BLACKHEATH HOSPITAL
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST
NVC31,BLAKELANDS HOSPITAL
NHW04,BLANDFORD HOSPITAL (STANDARD HEALTH)
RMC,BOLTON NHS FOUNDATION TRUST
NVC27,BOSTON WEST HOSPITAL
TAD,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST
RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST
C38N,BROMLEY HEALTHCARE COMMUNITY INTEREST COMPANY
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST
A4M8P,BUCKSHAW HOSPITAL
D4C7Z,BURCOT HALL HOSPITAL
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST
C50G,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST
NT451,CAVELL HOSPITAL
RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST
NT408,CHAUCER HOSPITAL
O1X4X,CHEC ACCRINGTON
M1P7A,CHEC BASINGSTOKE
U3S8Q,CHEC BATTERSEA
X9U9R,CHEC BLACKPOOL
D7D7J,CHEC COVENTRY
G1G4T,CHEC ILFORD
V9C4Q,CHEC LEICESTER
C5P5G,CHEC MILTON KEYNES
O7O8S,CHEC NEW CROSS
L3M9Z,CHEC NEWCASTLE
U1Y1V,CHEC NORTHAMPTON
W1O5A,CHEC NOTTINGHAM
Z9G5F,CHEC PRESTON
U4H3N,CHEC SHEFFIELD
Q7H3A,CHEC SLOUGH
O0P8A,CHEC STEVENAGE
K0B8K,CHEC STOCKPORT
N4X3H,CHEC STOKE
B7B7Y,CHEC WARRINGTON
H5K0B,CHEC WATFORD
U6E3R,CHEC WORCESTER
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST
NT409,CHELSFIELD PARK HOSPITAL
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST
NT410,CHILTERN HOSPITAL
F9Z4V,CIRCLE READING HOSPITAL
A0EE,CITY HEALTH CARE PARTNERSHIP CIC
B3M1X,CLAREMONT PRIVATE HOSPITAL
NT411,CLEMENTINE CHURCHILL HOSPITAL
NVC28,CLIFTON PARK HOSPITAL
NVC29,COBALT HOSPITAL
NVM01,COBHAM DAY SURGERY HOSPITAL
AAV02,COMMUNITY HEALTH AND EYECARE LIMITED (PRESTON)
NMG,CONNECT HEALTH LIMITED
C50C,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST
RJR-X,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST
RYG,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST
RJ6,CROYDON HEALTH SERVICES NHS TRUST
RX4,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST"
RN7-X,DARTFORD AND GRAVESHAM NHS TRUST
RN7,DARTFORD AND GRAVESHAM NHS TRUST
RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST
RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST
