Date,HospitalCode,MortalityIndex,MortalityBand,ObservedDeaths,ExpectedDeaths,ElectiveCaseMix,NonElectiveCaseMix,PalliativeDeaths
2018-12-31,RCF,0.9028,2.0,980.0,1085.0,4.2249,4.1774,27.0
2018-12-31,RTK,0.9971,2.0,1710.0,1715.0,3.6259,5.0279,44.0
2018-12-31,RF4,0.9537,2.0,3035.0,3185.0,5.3349,5.4347,38.0
2018-12-31,RFF,1.0086,2.0,1625.0,1610.0,4.054,4.624,24.0
2018-12-31,R1H,0.8861,3.0,3785.0,4275.0,5.9312,5.3171,39.0
2018-12-31,RDD,0.9966,2.0,2185.0,2190.0,5.4634,4.123,29.0
2018-12-31,RC1,1.0866,2.0,1275.0,1175.0,4.7114,4.8707,26.0
2018-12-31,RC9,1.043,2.0,1770.0,1700.0,4.2757,4.2882,39.0
2018-12-31,RXL,1.1626,1.0,2435.0,2095.0,5.8941,5.6519,27.0
2018-12-31,RMC,1.1917,1.0,1830.0,1535.0,4.7513,4.4496,27.0
2018-12-31,RAE,0.9129,2.0,1940.0,2125.0,4.764,3.9616,25.0
2018-12-31,RXH,0.991,2.0,2320.0,2340.0,4.3281,4.775,33.0
2018-12-31,RXQ,0.9921,2.0,1620.0,1630.0,4.6238,3.805,51.0
2018-12-31,RWY,1.0148,2.0,2460.0,2425.0,4.5387,4.9061,41.0
2018-12-31,RGT,0.8683,3.0,2215.0,2555.0,3.3063,5.2471,39.0
2018-12-31,RQM,0.7748,3.0,1610.0,2080.0,4.3109,4.5504,53.0
2018-12-31,RFS,1.0035,2.0,1870.0,1865.0,4.2717,5.1306,27.0
2018-12-31,RJR,1.072,2.0,1530.0,1425.0,2.9444,2.985,34.0
2018-12-31,RXP,1.0993,2.0,3090.0,2810.0,3.6064,3.9247,41.0
2018-12-31,RJ6,0.9584,2.0,1330.0,1390.0,3.6102,4.4663,45.0
2018-12-31,RN7,1.0725,2.0,1570.0,1460.0,2.5526,3.7002,52.0
2018-12-31,RP5,1.0308,2.0,2700.0,2620.0,4.4814,5.1823,49.0
2018-12-31,RBD,1.2033,1.0,1130.0,935.0,3.0387,3.2005,32.0
2018-12-31,RWH,0.9409,2.0,2335.0,2485.0,3.6879,4.2893,40.0
2018-12-31,RJN,1.1282,2.0,930.0,825.0,4.9866,5.0152,20.0
